task_id,method,repeat,budget,comparison_status,failure_count_before,failure_count_after,failure_count_delta,failure_pool_count_before,failure_pool_count_after
legacy_regression_seed4179802_merge_brake2,FBRT-NoMemory,7,20,before_missing,,2,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-NoMemory,8,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-NoMemory,9,20,before_missing,,2,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-Memory,0,20,compared,5.0,5.0,0.0,5,5
legacy_regression_seed4179802_merge_brake2,FBRT-Memory,1,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-Memory,2,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-Memory,3,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-Memory,4,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-Memory,5,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-Memory,6,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-Memory,7,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-Memory,8,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-Memory,9,20,before_missing,,4,,,5
legacy_regression_seed4179802_slow_front_brake2,Random,0,20,compared,9.0,12.0,3.0,68,68
legacy_regression_seed4179802_slow_front_brake2,Random,1,20,compared,12.0,12.0,0.0,68,68
legacy_regression_seed4179802_slow_front_brake2,Random,2,20,compared,11.0,10.0,-1.0,68,68
legacy_regression_seed4179802_slow_front_brake2,Random,3,20,compared,14.0,12.0,-2.0,68,68
legacy_regression_seed4179802_slow_front_brake2,Random,4,20,compared,12.0,12.0,0.0,68,68
legacy_regression_seed4179802_slow_front_brake2,Random,5,20,compared,13.0,12.0,-1.0,68,68
legacy_regression_seed4179802_slow_front_brake2,Random,6,20,compared,12.0,16.0,4.0,68,68
legacy_regression_seed4179802_slow_front_brake2,Random,7,20,compared,10.0,9.0,-1.0,68,68
legacy_regression_seed4179802_slow_front_brake2,Random,8,20,compared,12.0,14.0,2.0,68,68
legacy_regression_seed4179802_slow_front_brake2,Random,9,20,compared,11.0,12.0,1.0,68,68
legacy_regression_seed4179802_slow_front_brake2,HistoryRank-UCB-v2,0,20,compared,18.0,18.0,0.0,68,68
legacy_regression_seed4179802_slow_front_brake2,HistoryRank-UCB-v2,1,20,before_missing,,18,,,68
