method_variant,episode,time_step,state,q_target,q_mixed,gap_scores,visits,critical
Uniform-Equal-H,17,3,"[1, 2, 0, 13, 0, 0, 0, 1, 6, 1]","[0.0, 0.0, 0.0]","[0.007577972412109375, 0.09624442299207052, 0.03119730631510417]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 2, 1]",True
Uniform-Equal-H,17,4,"[1, 1, 0, 13, 0, 0, 0, 1, 7, 1]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[1, 2, 0]",False
Uniform-Equal-H,17,5,"[1, 1, 0, 13, 0, 0, 0, 1, 8, 1]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 2, 1]",False
Uniform-Equal-H,18,0,"[2, 0, -3, 12, 0, 0, 0, 2, 0, 3]","[0.0, 0.0, 0.0]","[3.7147000630696615e-05, 9.668792724609377e-06, 3.28367919921875e-05]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 1, 0]",True
Uniform-Equal-H,18,1,"[2, 0, -3, 13, 0, 0, 0, 2, 1, 3]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 1, 0]",False
Uniform-Equal-H,18,2,"[2, 0, -3, 13, 0, 0, 0, 2, 2, 3]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 1, 0]",False
Uniform-Equal-H,18,3,"[2, 0, -3, 12, 0, 0, 0, 2, 3, 3]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[1, 0, 0]",False
Uniform-Equal-H,18,4,"[1, 0, -3, 12, 0, 0, 0, 2, 4, 3]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 0, 1]",False
Uniform-Equal-H,19,0,"[2, 2, -4, 13, 0, 0, 1, 1, 5, 1]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 0, 1]",False
Uniform-Equal-H,19,1,"[2, 2, -3, 13, 0, 0, 0, 1, 6, 1]","[0.0, 0.0, 0.0]","[0.10402559407552084, 0.08597469075520835, 0.09378670247395834]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0, 0, 2]",True
