method,method_variant,task_kind,mode,target_sut,seed,step,scenario_index,scenario_id,selected_reason,visible_target_count_before,collision_offline,critical_offline,cumulative_failures
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,17,4,cutin:g=12.43231606:dv=-4.68883190:mode=fast_intrusion,baseline,0,False,True,11
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,18,64,cutin:g=10.17529029:dv=-2.77229959:mode=lead_braking,baseline,0,False,True,11
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,19,12,cutin:g=10.67797698:dv=1.44027882:mode=fast_intrusion,baseline,0,False,False,11
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,20,1,cutin:g=23.54475103:dv=-5.40866684:mode=fast_intrusion,baseline,0,False,False,11
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,1,67,cutin:g=27.90143384:dv=-7.47720103:mode=lead_braking,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,2,81,cutin:g=8.55722121:dv=-1.97479224:mode=lead_braking,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,3,5,cutin:g=13.51480558:dv=-0.30710811:mode=fast_intrusion,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,4,13,cutin:g=39.40241854:dv=-3.80857806:mode=fast_intrusion,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,5,52,cutin:g=37.55574949:dv=-2.62950240:mode=cutin_braking,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,6,19,cutin:g=18.25243168:dv=-4.45179359:mode=fast_intrusion,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,7,20,cutin:g=22.74551985:dv=-1.57899471:mode=fast_intrusion,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,8,91,cutin:g=34.29987221:dv=-2.19618651:mode=lead_braking,baseline,0,False,False,0
Random-within-SUT,Random-within-SUT,failure_discovery,static,SUT-A,0,9,88,cutin:g=23.64529738:dv=-3.04918239:mode=lead_braking,baseline,0,False,False,0
