repeat,random_seed,protocol,variant,target_sut,executions,collisions,critical_events,first_collision_budget,first_collision_censored,invalid_executions,empty_filters,candidate_attempts,precheck_passed,unique_candidates,sem_above_threshold,duplicate_executions,duplicate_execution_ratio,simulation_seconds,simulation_wall_seconds,candidate_generation_seconds,sem_inference_seconds,collisions_per_simulation_minute,wall_seconds
2,20260919,paper_nm,2SMS-H,SUT-C,20,2,2,10,False,0,0,24,24,24,0,0,0.0,129.20000000000002,6.389394199984963,0.0022027000231901184,3.4999975468963385e-06,0.9287925696594426,6.633747400002903
2,20260919,paper_nm,RMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,440,0,0.0,38.6,1.9272013000154402,0.11431470002571587,0.6845419000310358,31.088082901554404,3.0114073999866378
2,20260919,paper_nm,2SMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,415,0,0.0,35.60000000000001,1.8101687000016682,0.09981969998625573,0.7050472000410082,33.707865168539314,2.9032653000031132
2,20260919,matched_nm100,RMS-H,SUT-C,20,3,3,9,False,0,0,800,800,800,0,0,0.0,123.80000000000001,5.77229409996653,0.04744589999609161,2.0100007532164454e-05,1.4539579967689822,6.056316699992749
2,20260919,matched_nm100,2SMS-H,SUT-C,20,4,6,3,False,0,0,800,800,800,0,0,0.0,118.4,5.708550600058516,0.043108199984999374,2.800006768666208e-06,2.027027027027027,5.9903714999963995
2,20260919,matched_nm100,RMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,448,0,0.0,36.400000000000006,1.7358096999960253,0.09914990002289414,0.6113990000012564,32.96703296703296,2.7166300000099
2,20260919,matched_nm100,2SMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,412,0,0.0,36.20000000000001,1.7485602999804541,0.10543209998286329,0.6396591000229819,33.14917127071822,2.755548600005568
0,20260917,paper_nm,RMS-H,SUT-D,20,5,7,3,False,0,0,24,24,24,0,0,0.0,119.40000000000002,5.37447279994376,0.0027522000018507242,6.969999230932444e-05,2.512562814070351,5.57794049999211
0,20260917,paper_nm,2SMS-H,SUT-D,20,1,1,11,False,0,0,21,21,21,0,0,0.0,136.00000000000003,6.233512899969355,0.0017033999902196229,2.4000037228688598e-06,0.4411764705882352,6.431914000000688
0,20260917,paper_nm,RMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,420,0,0.0,34.60000000000001,1.756489799998235,0.10786010001902469,0.6750544999958947,34.682080924855484,2.807508300000336
0,20260917,paper_nm,2SMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,398,0,0.0,33.400000000000006,1.8102739000314614,0.09980880000512116,0.6142833000340033,35.928143712574844,2.802968299991335
0,20260917,matched_nm100,RMS-H,SUT-D,20,4,6,2,False,0,0,800,800,800,0,0,0.0,120.40000000000003,5.354960099997697,0.036470500024734065,1.659998088143766e-05,1.9933554817275743,5.642592100004549
0,20260917,matched_nm100,2SMS-H,SUT-D,20,5,7,3,False,0,0,800,800,800,0,0,0.0,115.20000000000005,5.112277800042648,0.05019199999514967,4.4000043999403715e-06,2.6041666666666656,5.370581999988644
0,20260917,matched_nm100,RMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,367,0,0.0,34.800000000000004,1.7228730000351788,0.1082967000111239,0.6617867999884766,34.48275862068965,2.802115099999355
0,20260917,matched_nm100,2SMS+SEM-H,SUT-D,20,20,20,1,False,0,0,2000,2000,2000,373,0,0.0,35.000000000000014,1.7278942000120878,0.10389070000383072,0.6825867999868933,34.28571428571427,2.8047401000076206
