task_id,target_build,method,repeat,budget,effective_horizon,candidate_count,actual_queries,valid_results,failure_detected,first_failure_rank,failure_count,failure_pool_count,failure_recall,early_failure_recall_auc_20
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,8,10,20,104,10,10,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,8,20,20,104,20,20,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,9,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,9,5,20,104,5,5,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,9,10,20,104,10,10,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,9,20,20,104,20,20,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,HistoryRank-UCB-v2,0,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,HistoryRank-UCB-v2,0,5,20,104,5,5,True,3,2,4,0.5,0.2
legacy_regression_seed4179801_merge_brake2,merge_brake2,HistoryRank-UCB-v2,0,10,20,104,10,10,True,3,3,4,0.75,0.375
legacy_regression_seed4179801_merge_brake2,merge_brake2,HistoryRank-UCB-v2,0,20,20,104,20,20,True,3,4,4,1.0,0.6875
legacy_regression_seed4179801_merge_brake2,merge_brake2,FailureDistance-v2,0,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,FailureDistance-v2,0,5,20,104,5,5,True,5,1,4,0.25,0.05
legacy_regression_seed4179801_merge_brake2,merge_brake2,FailureDistance-v2,0,10,20,104,10,10,True,5,2,4,0.5,0.2
legacy_regression_seed4179801_merge_brake2,merge_brake2,FailureDistance-v2,0,20,20,104,20,20,True,5,3,4,0.75,0.4375
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-NoMemory,0,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-NoMemory,0,5,20,104,5,5,True,3,1,4,0.25,0.15
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-NoMemory,0,10,20,104,10,10,True,3,1,4,0.25,0.2
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-NoMemory,0,20,20,104,20,20,True,3,2,4,0.5,0.2375
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-Memory,0,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-Memory,0,5,20,104,5,5,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-Memory,0,10,20,104,10,10,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-Memory,0,20,20,104,20,20,True,12,1,4,0.25,0.1125
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,0,1,20,104,1,1,True,1,1,65,0.015384615384615385,0.015384615384615385
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,0,5,20,104,5,5,True,1,5,65,0.07692307692307693,0.046153846153846156
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,0,10,20,104,10,10,True,1,8,65,0.12307692307692308,0.07076923076923078
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,0,20,20,104,20,20,True,1,15,65,0.23076923076923078,0.1330769230769231
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,1,1,20,104,1,1,True,1,1,65,0.015384615384615385,0.015384615384615385
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,1,5,20,104,5,5,True,1,2,65,0.03076923076923077,0.024615384615384615
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,1,10,20,104,10,10,True,1,5,65,0.07692307692307693,0.046153846153846156
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,1,20,20,104,20,20,True,1,13,65,0.2,0.09
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,2,1,20,104,1,1,True,1,1,65,0.015384615384615385,0.015384615384615385
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,2,5,20,104,5,5,True,1,3,65,0.046153846153846156,0.03076923076923077
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,2,10,20,104,10,10,True,1,8,65,0.12307692307692308,0.06153846153846154
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,2,20,20,104,20,20,True,1,16,65,0.24615384615384617,0.12692307692307694
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,3,1,20,104,1,1,False,,0,65,0.0,0.0
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,3,5,20,104,5,5,True,2,4,65,0.06153846153846154,0.03076923076923077
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,3,10,20,104,10,10,True,2,8,65,0.12307692307692308,0.06153846153846154
