target_profile,initial_gap,relative_speed,action,collision,near_miss,min_ttc,min_distance
AV-Reference-IDM,42.0,-8.0,2,False,False,5.99390160223117,26.984491901520734
AV-Reference-IDM,42.0,-5.0,0,False,False,4.633583347090757,22.458496909160118
AV-Reference-IDM,42.0,-5.0,1,False,False,8.627357788822462,30.00746330127069
AV-Reference-IDM,42.0,-5.0,2,False,False,12.24645504408282,32.38426920086966
AV-Reference-IDM,42.0,-2.0,0,False,False,7.590745550020349,27.842704064854978
AV-Reference-IDM,42.0,-2.0,1,False,False,24.186194480602598,34.39802407642852
AV-Reference-IDM,42.0,-2.0,2,False,False,56.065437863223515,36.136256746300674
AV-Reference-IDM,42.0,1.0,0,False,False,20.282432361571505,32.31064716789486
AV-Reference-IDM,42.0,1.0,1,False,False,inf,36.24442386553605
AV-Reference-IDM,42.0,1.0,2,False,False,inf,36.24442386553605
AV-Calibrated-IDM,10.0,-8.0,0,True,False,inf,0.0
AV-Calibrated-IDM,10.0,-8.0,1,True,False,0.8174998499165566,0.0
AV-Calibrated-IDM,10.0,-8.0,2,True,False,1.12002314024986,0.2954218209139867
AV-Calibrated-IDM,10.0,-5.0,0,True,False,0.4612355596999404,0.0
AV-Calibrated-IDM,10.0,-5.0,1,False,True,1.7079379784136812,0.4593299818792351
AV-Calibrated-IDM,10.0,-5.0,2,False,False,3.184660305805161,2.252599993089458
AV-Calibrated-IDM,10.0,-2.0,0,True,False,1.1893818628228687,0.0
AV-Calibrated-IDM,10.0,-2.0,1,False,False,15.203311455477364,3.355814923985564
AV-Calibrated-IDM,10.0,-2.0,2,False,False,inf,4.706619726771741
AV-Calibrated-IDM,10.0,1.0,0,False,True,6.878315877264799,1.3704129035947687
AV-Calibrated-IDM,10.0,1.0,1,False,False,inf,4.894569217505124
AV-Calibrated-IDM,10.0,1.0,2,False,False,inf,4.894569217505124
AV-Calibrated-IDM,18.0,-8.0,0,True,False,0.9338425622659752,0.1479965996129513
AV-Calibrated-IDM,18.0,-8.0,1,False,False,2.000476452843272,4.776089630280499
AV-Calibrated-IDM,18.0,-8.0,2,False,False,2.4524390133706135,6.601713458979102
AV-Calibrated-IDM,18.0,-5.0,0,False,False,1.6179351630356642,2.3783988836922054
AV-Calibrated-IDM,18.0,-5.0,1,False,False,3.762191234797464,8.426250883351692
AV-Calibrated-IDM,18.0,-5.0,2,False,False,6.4925214604109085,10.217341343503294
AV-Calibrated-IDM,18.0,-2.0,0,False,False,2.9951333783195695,6.231462753913874
AV-Calibrated-IDM,18.0,-2.0,1,False,False,29.89949090351549,11.291332731519152
AV-Calibrated-IDM,18.0,-2.0,2,False,False,inf,12.629617716924386
AV-Calibrated-IDM,18.0,1.0,0,False,False,15.55517058288408,9.293953731814057
AV-Calibrated-IDM,18.0,1.0,1,False,False,inf,12.512923799297475
AV-Calibrated-IDM,18.0,1.0,2,False,False,inf,12.512923799297475
AV-Calibrated-IDM,26.0,-8.0,0,False,False,1.7619138514946415,4.878941767177038
AV-Calibrated-IDM,26.0,-8.0,1,False,False,3.226795772315705,12.771184080293725
AV-Calibrated-IDM,26.0,-8.0,2,False,False,3.8376677331367848,14.596787643194169
AV-Calibrated-IDM,26.0,-5.0,0,False,False,2.7805559986233943,10.372681605494591
AV-Calibrated-IDM,26.0,-5.0,1,False,False,5.816444491181247,16.417846336977004
AV-Calibrated-IDM,26.0,-5.0,2,False,False,9.800382615016657,18.206351468286194
AV-Calibrated-IDM,26.0,-2.0,0,False,False,4.876699168945683,14.221751755065167
AV-Calibrated-IDM,26.0,-2.0,1,False,False,44.595670351553615,19.269138965227302
AV-Calibrated-IDM,26.0,-2.0,2,False,False,inf,20.59812520971135
AV-Calibrated-IDM,26.0,1.0,0,False,False,24.232025288503362,17.270317749143672
AV-Calibrated-IDM,26.0,1.0,1,False,False,inf,20.367351063916782
AV-Calibrated-IDM,26.0,1.0,2,False,False,inf,20.367351063916782
AV-Calibrated-IDM,34.0,-8.0,0,False,False,2.571548078856445,12.872507011518021
AV-Calibrated-IDM,34.0,-8.0,1,False,False,4.4531150917881375,20.63802115050577
