method,budget,scope,value,units,mean_CollisionCount,mean_CriticalCount,mean_SeveritySum,mean_CVS,mean_F,mean_NewHistoricalFailureCount,mean_selection_seconds
TargetOnlyGP-Marginal,20,overall,all,12,3.25,14.166666666666666,8.708333333333334,3.9166666666666665,0.051220262413763706,0.08333333333333333,0.5988346166656507
TargetOnlyGP-Marginal,20,coverage,leave_one_out,12,3.25,14.166666666666666,8.708333333333334,3.9166666666666665,0.051220262413763706,0.08333333333333333,0.5988346166656507
TargetOnlyGP-Marginal,20,heterogeneity,idm_mobil,3,4.333333333333333,15.0,9.666666666666666,4.5,0.055395293200632245,0.0,0.5911217000102624
TargetOnlyGP-Marginal,30,overall,all,12,5.25,21.333333333333332,13.291666666666666,4.333333333333333,0.0617481733793027,0.5833333333333334,0.5988346166656507
TargetOnlyGP-Marginal,30,coverage,leave_one_out,12,5.25,21.333333333333332,13.291666666666666,4.333333333333333,0.0617481733793027,0.5833333333333334,0.5988346166656507
TargetOnlyGP-Marginal,30,heterogeneity,idm_mobil,3,6.666666666666667,22.666666666666668,14.666666666666666,4.833333333333333,0.060410642048028394,0.0,0.5911217000102624
TargetOnlyGP-Marginal,50,overall,all,12,6.75,37.0,21.875,4.791666666666667,0.06974779557582955,0.75,0.5988346166656507
TargetOnlyGP-Marginal,50,coverage,leave_one_out,12,6.75,37.0,21.875,4.791666666666667,0.06974779557582955,0.75,0.5988346166656507
TargetOnlyGP-Marginal,50,heterogeneity,idm_mobil,3,7.666666666666667,39.0,23.333333333333332,5.5,0.06459306264463473,0.0,0.5911217000102624
Random,10,overall,all,240,0.16666666666666666,1.0083333333333333,0.5875,0.5625,0.008681333563746589,0.10833333333333334,0.00021782375551993027
Random,10,coverage,leave_one_out,240,0.16666666666666666,1.0083333333333333,0.5875,0.5625,0.008681333563746589,0.10833333333333334,0.00021782375551993027
Random,10,heterogeneity,idm_mobil,60,0.16666666666666666,1.0,0.5833333333333334,0.55,0.005181491016034179,0.0,0.00022618333847882846
Random,20,overall,all,240,0.4083333333333333,2.191666666666667,1.3,1.15,0.0185898731475869,0.21666666666666667,0.00021782375551993027
Random,20,coverage,leave_one_out,240,0.4083333333333333,2.191666666666667,1.3,1.15,0.0185898731475869,0.21666666666666667,0.00021782375551993027
Random,20,heterogeneity,idm_mobil,60,0.26666666666666666,1.9666666666666666,1.1166666666666667,0.9666666666666667,0.009362457500376294,0.0,0.00022618333847882846
Random,30,overall,all,240,0.55,3.2583333333333333,1.9041666666666666,1.5833333333333333,0.025866032802951664,0.31666666666666665,0.00021782375551993027
Random,30,coverage,leave_one_out,240,0.55,3.2583333333333333,1.9041666666666666,1.5833333333333333,0.025866032802951664,0.31666666666666665,0.00021782375551993027
Random,30,heterogeneity,idm_mobil,60,0.36666666666666664,2.8333333333333335,1.6,1.3666666666666667,0.013481953106291427,0.0,0.00022618333847882846
Random,50,overall,all,240,0.95,5.35,3.15,2.3375,0.03915582658561344,0.5166666666666667,0.00021782375551993027
Random,50,coverage,leave_one_out,240,0.95,5.35,3.15,2.3375,0.03915582658561344,0.5166666666666667,0.00021782375551993027
Random,50,heterogeneity,idm_mobil,60,0.8666666666666667,4.666666666666667,2.7666666666666666,2.15,0.021629289228330663,0.0,0.00022618333847882846
FPS-Risk,10,heterogeneity,vi_ttc,3,4.666666666666667,10.0,7.333333333333333,4.0,0.04250034922555466,0.0,0.08611446665599942
FPS-Risk,20,heterogeneity,vi_ttc,3,9.666666666666666,20.0,14.833333333333334,4.0,0.05529361198181654,0.0,0.08611446665599942
FPS-Risk,30,heterogeneity,vi_ttc,3,14.0,30.0,22.0,4.666666666666667,0.06275276437464859,0.0,0.08611446665599942
FPS-Risk,50,heterogeneity,vi_ttc,3,15.666666666666666,48.666666666666664,32.166666666666664,5.5,0.07349841816930551,0.0,0.08611446665599942
FPS-Severity,10,heterogeneity,vi_ttc,3,7.666666666666667,10.0,8.833333333333334,4.0,0.04888289450678738,0.0,0.0797062333052357
FPS-Severity,20,heterogeneity,vi_ttc,3,11.333333333333334,20.0,15.666666666666666,4.166666666666667,0.05677379983156592,0.0,0.0797062333052357
FPS-Severity,30,heterogeneity,vi_ttc,3,14.0,30.0,22.0,4.666666666666667,0.06242098523847909,0.0,0.0797062333052357
FPS-Severity,50,heterogeneity,vi_ttc,3,15.666666666666666,48.666666666666664,32.166666666666664,5.5,0.07349841816930551,0.0,0.0797062333052357
FPS-Balanced,10,heterogeneity,vi_ttc,3,6.0,10.0,8.0,4.0,0.05207779242522955,0.0,0.0923236000041167
FPS-Balanced,20,heterogeneity,vi_ttc,3,10.333333333333334,20.0,15.166666666666666,4.0,0.06277305663674383,0.0,0.0923236000041167
FPS-Balanced,30,heterogeneity,vi_ttc,3,13.0,30.0,21.5,4.5,0.06846834234943626,0.0,0.0923236000041167
FPS-Balanced,50,heterogeneity,vi_ttc,3,16.0,50.0,33.0,5.666666666666667,0.08855921239343888,0.6666666666666666,0.0923236000041167
FPS-Marginal,10,heterogeneity,vi_ttc,3,4.666666666666667,8.333333333333334,6.5,4.166666666666667,0.05579044879538896,0.0,0.485157133351701
FPS-Marginal,20,heterogeneity,vi_ttc,3,8.666666666666666,18.333333333333332,13.5,4.833333333333333,0.06463023374766376,0.0,0.485157133351701
FPS-Marginal,30,heterogeneity,vi_ttc,3,9.333333333333334,28.333333333333332,18.833333333333332,5.166666666666667,0.06741515972139811,0.0,0.485157133351701
FPS-Marginal,50,heterogeneity,vi_ttc,3,15.0,46.666666666666664,30.833333333333332,5.5,0.07317280631454975,0.0,0.485157133351701
MeanResidual-Risk,10,heterogeneity,vi_ttc,3,4.666666666666667,10.0,7.333333333333333,4.0,0.04187297494150342,0.0,0.17031686667663357
MeanResidual-Risk,20,heterogeneity,vi_ttc,3,11.666666666666666,20.0,15.833333333333334,4.333333333333333,0.056386880679766466,0.0,0.17031686667663357
MeanResidual-Risk,30,heterogeneity,vi_ttc,3,16.333333333333332,30.0,23.166666666666668,4.333333333333333,0.06184341571917178,0.0,0.17031686667663357
MeanResidual-Risk,50,heterogeneity,vi_ttc,3,16.333333333333332,50.0,33.166666666666664,5.5,0.07381049187446374,0.0,0.17031686667663357
MeanResidual-Marginal,10,heterogeneity,vi_ttc,3,5.666666666666667,10.0,7.833333333333333,4.333333333333333,0.059305873531118235,0.0,0.5924285332827518
MeanResidual-Marginal,20,heterogeneity,vi_ttc,3,9.0,17.0,13.0,4.5,0.0645860554222546,0.0,0.5924285332827518
MeanResidual-Marginal,30,heterogeneity,vi_ttc,3,12.666666666666666,25.0,18.833333333333332,5.0,0.06846920803055108,0.0,0.5924285332827518
MeanResidual-Marginal,50,heterogeneity,vi_ttc,3,16.0,44.333333333333336,30.166666666666668,5.833333333333333,0.09003279044271621,0.6666666666666666,0.5924285332827518
CoRe-Risk,10,heterogeneity,vi_ttc,3,4.666666666666667,10.0,7.333333333333333,4.0,0.04148373450376723,0.0,0.2099433666250358
CoRe-Risk,20,heterogeneity,vi_ttc,3,9.0,20.0,14.5,4.333333333333333,0.051175540501072425,0.0,0.2099433666250358
CoRe-Risk,30,heterogeneity,vi_ttc,3,15.666666666666666,30.0,22.833333333333332,4.333333333333333,0.06202980659332937,0.0,0.2099433666250358
CoRe-Risk,50,heterogeneity,vi_ttc,3,16.333333333333332,49.333333333333336,32.833333333333336,5.666666666666667,0.08517942153343035,0.3333333333333333,0.2099433666250358
CoRe-Marginal,10,heterogeneity,vi_ttc,3,4.666666666666667,8.0,6.333333333333333,4.0,0.05570893491911801,0.0,0.6180456333483259
CoRe-Marginal,20,heterogeneity,vi_ttc,3,8.333333333333334,15.666666666666666,12.0,4.833333333333333,0.08335749218753867,1.3333333333333333,0.6180456333483259
CoRe-Marginal,30,heterogeneity,vi_ttc,3,10.333333333333334,24.0,17.166666666666668,4.833333333333333,0.08760072268475645,1.6666666666666667,0.6180456333483259
CoRe-Marginal,50,heterogeneity,vi_ttc,3,15.666666666666666,40.666666666666664,28.166666666666668,5.833333333333333,0.09423242707388213,2.0,0.6180456333483259
TargetOnlyGP-Marginal,10,heterogeneity,vi_ttc,3,2.0,5.0,3.5,3.3333333333333335,0.03834959909587972,0.0,0.6062158667094385
TargetOnlyGP-Marginal,20,heterogeneity,vi_ttc,3,6.0,15.0,10.5,4.166666666666667,0.06363494965960943,0.3333333333333333,0.6062158667094385
TargetOnlyGP-Marginal,30,heterogeneity,vi_ttc,3,9.0,22.0,15.5,4.833333333333333,0.09155807766345407,2.3333333333333335,0.6062158667094385
TargetOnlyGP-Marginal,50,heterogeneity,vi_ttc,3,13.333333333333334,37.666666666666664,25.5,5.5,0.1104023471192479,3.0,0.6062158667094385
Random,10,heterogeneity,vi_ttc,60,0.3,1.4333333333333333,0.8666666666666667,0.8333333333333334,0.02131524426308816,0.43333333333333335,0.00020482000739624102
Random,20,heterogeneity,vi_ttc,60,0.7666666666666667,3.033333333333333,1.9,1.75,0.04430575363812756,0.8666666666666667,0.00020482000739624102
Random,30,heterogeneity,vi_ttc,60,1.0,4.533333333333333,2.7666666666666666,2.3,0.061120343696326226,1.2666666666666666,0.00020482000739624102
Random,50,heterogeneity,vi_ttc,60,1.7333333333333334,7.366666666666666,4.55,3.283333333333333,0.09095168075575683,2.066666666666667,0.00020482000739624102
FPS-Risk,10,heterogeneity,mcts_cv,3,4.666666666666667,10.0,7.333333333333333,4.0,0.04200589933788212,0.0,0.08556600004279365
FPS-Risk,20,heterogeneity,mcts_cv,3,9.0,19.666666666666668,14.333333333333334,4.0,0.05343170721064161,0.0,0.08556600004279365
FPS-Risk,30,heterogeneity,mcts_cv,3,9.333333333333334,27.666666666666668,18.5,4.333333333333333,0.05548928757909614,0.0,0.08556600004279365
FPS-Risk,50,heterogeneity,mcts_cv,3,9.333333333333334,44.0,26.666666666666668,5.166666666666667,0.06601365761246196,0.0,0.08556600004279365
FPS-Severity,10,heterogeneity,mcts_cv,3,7.333333333333333,10.0,8.666666666666666,4.0,0.04938135593472798,0.0,0.07901563336296628
FPS-Severity,20,heterogeneity,mcts_cv,3,9.333333333333334,18.666666666666668,14.0,4.0,0.0533263026725093,0.0,0.07901563336296628
FPS-Severity,30,heterogeneity,mcts_cv,3,9.333333333333334,27.666666666666668,18.5,4.333333333333333,0.05556189782286042,0.0,0.07901563336296628
FPS-Severity,50,heterogeneity,mcts_cv,3,9.333333333333334,44.0,26.666666666666668,5.166666666666667,0.06601365761246196,0.0,0.07901563336296628
FPS-Balanced,10,heterogeneity,mcts_cv,3,5.666666666666667,10.0,7.833333333333333,4.0,0.05049441241821623,0.0,0.08951486666531612
FPS-Balanced,20,heterogeneity,mcts_cv,3,8.333333333333334,20.0,14.166666666666666,4.0,0.05958604531702968,0.0,0.08951486666531612
FPS-Balanced,30,heterogeneity,mcts_cv,3,9.0,29.666666666666668,19.333333333333332,4.333333333333333,0.06336660894824464,0.0,0.08951486666531612
FPS-Balanced,50,heterogeneity,mcts_cv,3,9.333333333333334,44.666666666666664,27.0,5.166666666666667,0.06615792364817939,0.0,0.08951486666531612
FPS-Marginal,10,heterogeneity,mcts_cv,3,3.3333333333333335,6.333333333333333,4.833333333333333,3.8333333333333335,0.048405895110291856,0.0,0.48670413333456963
FPS-Marginal,20,heterogeneity,mcts_cv,3,6.333333333333333,14.333333333333334,10.333333333333334,4.5,0.058840934528147905,0.0,0.48670413333456963
FPS-Marginal,30,heterogeneity,mcts_cv,3,6.333333333333333,23.0,14.666666666666666,4.833333333333333,0.061798086266233454,0.0,0.48670413333456963
FPS-Marginal,50,heterogeneity,mcts_cv,3,9.0,40.666666666666664,24.833333333333332,5.166666666666667,0.06567344707012018,0.0,0.48670413333456963
MeanResidual-Risk,10,heterogeneity,mcts_cv,3,4.666666666666667,10.0,7.333333333333333,4.0,0.042218619757696675,0.0,0.17735639998378852
MeanResidual-Risk,20,heterogeneity,mcts_cv,3,8.666666666666666,19.0,13.833333333333334,4.0,0.05291431842831643,0.0,0.17735639998378852
MeanResidual-Risk,30,heterogeneity,mcts_cv,3,9.333333333333334,28.333333333333332,18.833333333333332,4.166666666666667,0.05737089653408237,0.0,0.17735639998378852
MeanResidual-Risk,50,heterogeneity,mcts_cv,3,9.333333333333334,44.666666666666664,27.0,5.166666666666667,0.06615792364817939,0.0,0.17735639998378852
MeanResidual-Marginal,10,heterogeneity,mcts_cv,3,3.6666666666666665,7.333333333333333,5.5,3.8333333333333335,0.05155976943960786,0.0,0.6030455000000075
MeanResidual-Marginal,20,heterogeneity,mcts_cv,3,6.666666666666667,16.0,11.333333333333334,4.333333333333333,0.06019443652499373,0.0,0.6030455000000075
