seed,build,method,repeat,budget,actual_queries,regression_detected,first_regression_rank,regression_collision_count,regression_template_count,regression_recall,observed_regressions_in_pool
4179801,slow_front_brake2,FBRT-Adaptive,0,5,5,True,2,3,2,0.046153846153846156,65
4179801,slow_front_brake2,FBRT-Adaptive,0,10,10,True,2,7,3,0.1076923076923077,65
4179801,slow_front_brake2,FBRT-Adaptive,0,20,20,True,2,16,3,0.24615384615384617,65
4179801,slow_front_brake2,FBRT-Adaptive,0,50,50,True,2,32,3,0.49230769230769234,65
4179801,slow_front_brake2,FBRT-RegionBandit,0,5,5,True,1,4,3,0.06153846153846154,65
4179801,slow_front_brake2,FBRT-RegionBandit,0,10,10,True,1,9,3,0.13846153846153847,65
4179801,slow_front_brake2,FBRT-RegionBandit,0,20,20,True,1,18,3,0.27692307692307694,65
4179801,slow_front_brake2,FBRT-RegionBandit,0,50,50,True,1,47,3,0.7230769230769231,65
4179802,merge_blind06,Random,0,5,5,False,,0,0,0.0,12
4179802,merge_blind06,Random,0,10,10,True,8,2,2,0.16666666666666666,12
4179802,merge_blind06,Random,0,20,20,True,8,2,2,0.16666666666666666,12
4179802,merge_blind06,Random,0,50,50,True,8,4,2,0.3333333333333333,12
4179802,merge_blind06,Random,1,5,5,True,3,3,2,0.25,12
4179802,merge_blind06,Random,1,10,10,True,3,4,2,0.3333333333333333,12
4179802,merge_blind06,Random,1,20,20,True,3,5,2,0.4166666666666667,12
4179802,merge_blind06,Random,1,50,50,True,3,6,2,0.5,12
4179802,merge_blind06,Random,2,5,5,False,,0,0,0.0,12
4179802,merge_blind06,Random,2,10,10,False,,0,0,0.0,12
4179802,merge_blind06,Random,2,20,20,True,14,1,1,0.08333333333333333,12
4179802,merge_blind06,Random,2,50,50,True,14,5,2,0.4166666666666667,12
4179802,merge_blind06,Random,3,5,5,False,,0,0,0.0,12
4179802,merge_blind06,Random,3,10,10,False,,0,0,0.0,12
4179802,merge_blind06,Random,3,20,20,False,,0,0,0.0,12
4179802,merge_blind06,Random,3,50,50,True,23,4,2,0.3333333333333333,12
4179802,merge_blind06,Random,4,5,5,True,1,1,1,0.08333333333333333,12
4179802,merge_blind06,Random,4,10,10,True,1,1,1,0.08333333333333333,12
4179802,merge_blind06,Random,4,20,20,True,1,1,1,0.08333333333333333,12
4179802,merge_blind06,Random,4,50,50,True,1,4,1,0.3333333333333333,12
4179802,merge_blind06,Random,5,5,5,True,3,1,1,0.08333333333333333,12
4179802,merge_blind06,Random,5,10,10,True,3,1,1,0.08333333333333333,12
4179802,merge_blind06,Random,5,20,20,True,3,3,1,0.25,12
4179802,merge_blind06,Random,5,50,50,True,3,5,2,0.4166666666666667,12
4179802,merge_blind06,Random,6,5,5,False,,0,0,0.0,12
4179802,merge_blind06,Random,6,10,10,False,,0,0,0.0,12
4179802,merge_blind06,Random,6,20,20,False,,0,0,0.0,12
4179802,merge_blind06,Random,6,50,50,True,29,5,2,0.4166666666666667,12
4179802,merge_blind06,Random,7,5,5,False,,0,0,0.0,12
4179802,merge_blind06,Random,7,10,10,False,,0,0,0.0,12
