seed,build,repeat,method,rank,scenario_id,template_id,selection_reason,patch_id,ego_collision,regression
4179801,merge_blind06,2,Random,7,4179801:fbrt_lead_emergency_brake:core_boundary:3,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,2,Random,8,4179801:fbrt_stop_hold_go:initial:21,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,2,Random,9,4179801:fbrt_cutout_static:initial:23,fbrt_cutout_static,random,,True,True
4179801,merge_blind06,2,Random,10,4179801:fbrt_cutin:core_boundary:2,fbrt_cutin,random,,True,True
4179801,merge_blind06,2,Random,11,4179801:fbrt_cutout_static:initial:0,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,2,Random,12,4179801:fbrt_stop_hold_go:initial:20,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,2,Random,13,4179801:fbrt_stop_hold_go:core_extra:3,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,2,Random,14,4179801:fbrt_cutin:initial:12,fbrt_cutin,random,,False,False
4179801,merge_blind06,2,Random,15,4179801:fbrt_cutout_static:initial:9,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,2,Random,16,4179801:fbrt_cutin:initial:0,fbrt_cutin,random,,False,False
4179801,merge_blind06,2,Random,17,4179801:fbrt_cutout_static:initial:28,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,2,Random,18,4179801:fbrt_cutout_static:initial:8,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,2,Random,19,4179801:fbrt_stop_hold_go:core_extra:1,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,2,Random,20,4179801:fbrt_lead_emergency_brake:wide_initial:17,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,2,Random,21,4179801:fbrt_cutin:initial:28,fbrt_cutin,random,,False,False
4179801,merge_blind06,2,Random,22,4179801:fbrt_lead_emergency_brake:wide_initial:30,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,2,Random,23,4179801:fbrt_cutout_static:initial:17,fbrt_cutout_static,random,,True,True
4179801,merge_blind06,2,Random,24,4179801:fbrt_cutout_static:initial:14,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,2,Random,25,4179801:fbrt_lead_emergency_brake:wide_initial:25,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,2,Random,26,4179801:fbrt_stop_hold_go:initial:9,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,2,Random,27,4179801:fbrt_stop_hold_go:probe:0,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,2,Random,28,4179801:fbrt_stop_hold_go:probe:1,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,2,Random,29,4179801:fbrt_cutout_static:initial:12,fbrt_cutout_static,random,,False,False
