seed,target,method,query,candidate_index,original_index,mode,ego_collision,background_collision,near_miss,completed,min_ttc,min_clearance
20300905,idm_delay07_brake3,ModeQuantile-Static,48,183,311,lead_braking,True,True,False,False,1.169049878906573,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,49,250,442,stop_and_go,True,True,False,False,0.7345688421269937,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,50,265,521,slow_lead_following,True,True,False,False,1.6509304185662763,0.0
20300905,idm_delay07,HistoryMargin-Static,1,159,287,lead_braking,True,True,False,False,0.8636282558011908,0.0
20300905,idm_delay07,HistoryMargin-Static,2,25,28,fast_intrusion,True,True,False,False,0.8125436480615422,0.0
20300905,idm_delay07,HistoryMargin-Static,3,257,513,slow_lead_following,True,True,False,False,0.7253568839271135,0.0
20300905,idm_delay07,HistoryMargin-Static,4,175,303,lead_braking,True,True,False,False,1.1824265379759789,0.0
20300905,idm_delay07,HistoryMargin-Static,5,193,385,stop_and_go,True,True,False,False,0.9731801650742624,0.0
20300905,idm_delay07,HistoryMargin-Static,6,97,163,cutin_braking,True,True,False,False,0.861788193806056,0.004094233751743559
20300905,idm_delay07,HistoryMargin-Static,7,281,537,slow_lead_following,True,True,False,False,1.1234029342691445,0.0
20300905,idm_delay07,HistoryMargin-Static,8,273,529,slow_lead_following,True,True,False,False,1.1883491086590776,0.0
20300905,idm_delay07,HistoryMargin-Static,9,33,36,fast_intrusion,True,True,False,False,1.3601862276891277,0.0
20300905,idm_delay07,HistoryMargin-Static,10,21,24,fast_intrusion,True,True,False,False,1.3357806591124544,0.0
20300905,idm_delay07,HistoryMargin-Static,11,297,553,slow_lead_following,False,False,True,True,1.5275318668597848,0.6428206354755872
20300905,idm_delay07,HistoryMargin-Static,12,277,533,slow_lead_following,False,False,True,True,1.509267653871105,0.5066429087175379
20300905,idm_delay07,HistoryMargin-Static,13,312,569,slow_lead_following,False,False,True,True,1.5724832814507381,0.9853062951139009
20300905,idm_delay07,HistoryMargin-Static,14,225,417,stop_and_go,True,True,False,False,1.48694876955318,0.0
20300905,idm_delay07,HistoryMargin-Static,15,82,147,cutin_braking,True,True,False,False,1.315642189537442,0.0
20300905,idm_delay07,HistoryMargin-Static,16,62,67,fast_intrusion,True,True,False,False,1.4668205765085436,1.4210854715202004e-14
20300905,idm_delay07,HistoryMargin-Static,17,293,549,slow_lead_following,False,False,False,True,1.707673444135463,2.076962338531473
20300905,idm_delay07,HistoryMargin-Static,18,48,52,fast_intrusion,False,False,True,True,1.5754704669111739,0.9233892906681263
20300905,idm_delay07,HistoryMargin-Static,19,270,526,slow_lead_following,False,False,True,True,1.617053537662918,0.7439245190042953
20300905,idm_delay07,HistoryMargin-Static,20,63,68,fast_intrusion,False,False,False,True,1.7370130356300892,2.32022507873927
20300905,idm_delay07,HistoryMargin-Static,21,4,4,fast_intrusion,False,False,False,True,1.6069328322123984,1.0462853900718585
20300905,idm_delay07,HistoryMargin-Static,22,241,433,stop_and_go,True,True,False,False,1.7247183577497136,0.0
20300905,idm_delay07,HistoryMargin-Static,23,289,545,slow_lead_following,False,False,False,True,1.7564970201755299,1.921481088047429
20300905,idm_delay07,HistoryMargin-Static,24,117,183,cutin_braking,True,True,False,False,1.288406346299855,0.0
20300905,idm_delay07,HistoryMargin-Static,25,265,521,slow_lead_following,False,False,False,True,1.8484358080478913,3.1744328540062696
20300905,idm_delay07,HistoryMargin-Static,26,37,40,fast_intrusion,False,False,False,True,1.8839725660138176,3.6181792691868395
20300905,idm_delay07,HistoryMargin-Static,27,143,271,lead_braking,True,True,False,False,0.8179783170420626,0.0
20300905,idm_delay07,HistoryMargin-Static,28,105,171,cutin_braking,True,True,False,False,1.3319795622420214,0.0
20300905,idm_delay07,HistoryMargin-Static,29,135,263,lead_braking,False,False,False,True,1.9701806315051718,3.2296718759745886
20300905,idm_delay07,HistoryMargin-Static,30,286,542,slow_lead_following,False,False,False,True,1.9188596623197702,2.557166342743457
20300905,idm_delay07,HistoryMargin-Static,31,165,293,lead_braking,False,False,False,True,2.4855783716047632,20.50120339961083
20300905,idm_delay07,HistoryMargin-Static,32,98,164,cutin_braking,True,True,False,False,1.4379868394828994,0.0
20300905,idm_delay07,HistoryMargin-Static,33,302,558,slow_lead_following,False,False,False,True,1.9256447513003623,2.1782968893910635
20300905,idm_delay07,HistoryMargin-Static,34,309,566,slow_lead_following,False,False,False,True,2.055595557301959,4.356501124665371
20300905,idm_delay07,HistoryMargin-Static,35,247,439,stop_and_go,False,False,False,True,3.0750311770433685,11.527644070982944
20300905,idm_delay07,HistoryMargin-Static,36,219,411,stop_and_go,False,False,False,True,3.050765698058619,18.94144046316117
20300905,idm_delay07,HistoryMargin-Static,37,29,32,fast_intrusion,False,False,False,True,2.1155748168066943,4.953803365713327
20300905,idm_delay07,HistoryMargin-Static,38,75,140,cutin_braking,True,True,False,False,0.7078231237411882,0.0
20300905,idm_delay07,HistoryMargin-Static,39,167,295,lead_braking,True,True,False,False,0.7202862915422991,0.0
20300905,idm_delay07,HistoryMargin-Static,40,233,425,stop_and_go,True,True,False,False,0.9554062420724542,0.0
20300905,idm_delay07,HistoryMargin-Static,41,32,35,fast_intrusion,False,False,False,True,2.110631566806056,3.073824543247852
20300905,idm_delay07,HistoryMargin-Static,42,187,315,lead_braking,False,False,True,True,1.1373216007199145,1.0426593188929303
20300905,idm_delay07,HistoryMargin-Static,43,179,307,lead_braking,False,False,False,True,2.018427476047475,7.67442685629311
20300905,idm_delay07,HistoryMargin-Static,44,0,0,fast_intrusion,False,False,False,True,2.351103951385589,7.401983602488103
20300905,idm_delay07,HistoryMargin-Static,45,44,48,fast_intrusion,False,False,False,True,2.3724238803855484,7.331055619142603
20300905,idm_delay07,HistoryMargin-Static,46,236,428,stop_and_go,False,False,False,True,3.3467366247449117,19.938643042000535
20300905,idm_delay07,HistoryMargin-Static,47,8,8,fast_intrusion,False,False,False,True,2.379050538481108,6.679163682140455
20300905,idm_delay07,HistoryMargin-Static,48,262,518,slow_lead_following,False,False,False,True,2.3729544049329525,5.48184518937299
20300905,idm_delay07,HistoryMargin-Static,49,185,313,lead_braking,False,False,False,True,1.7176539592224793,10.33458013062588
20300905,idm_delay07,HistoryMargin-Static,50,183,311,lead_braking,False,False,False,True,1.5721249935910755,3.118211337670388
20300905,idm_brake3,HistoryMargin-Static,1,159,287,lead_braking,True,True,False,False,0.6637292635550204,0.0
20300905,idm_brake3,HistoryMargin-Static,2,25,28,fast_intrusion,True,True,False,False,1.493155070627856,0.0
20300905,idm_brake3,HistoryMargin-Static,3,257,513,slow_lead_following,True,True,False,False,1.2153580603412022,0.0
20300905,idm_brake3,HistoryMargin-Static,4,175,303,lead_braking,True,True,False,False,0.9944605481032637,0.0
20300905,idm_brake3,HistoryMargin-Static,5,193,385,stop_and_go,True,True,False,False,1.4288565874879389,0.0
20300905,idm_brake3,HistoryMargin-Static,6,97,163,cutin_braking,True,True,False,False,1.1932821214917544,0.0016011637595738648
20300905,idm_brake3,HistoryMargin-Static,7,281,537,slow_lead_following,False,False,True,True,1.9007019391869286,0.2763976803046688
20300905,idm_brake3,HistoryMargin-Static,8,273,529,slow_lead_following,False,False,True,True,2.0115974268667287,0.9186341323005536
20300905,idm_brake3,HistoryMargin-Static,9,33,36,fast_intrusion,False,False,False,True,2.1156513781509587,1.5490683349087817
20300905,idm_brake3,HistoryMargin-Static,10,21,24,fast_intrusion,False,False,False,True,2.1381657345256846,1.6814013597289943
20300905,idm_brake3,HistoryMargin-Static,11,297,553,slow_lead_following,False,False,False,True,2.2932463996450827,2.7161960090437987
