method,target_sut,repeat,critical_score_at_20,collision_count_at_20,failure_count_at_20,curve
Random,SUT-B,9,1.0,1,1,0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
Random Support + Adaptation,SUT-B,9,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Random,SUT-B,10,2.0,1,3,0.000;0.000;0.000;0.000;0.000;0.500;0.500;0.500;0.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;2.000;2.000;2.000
Random Support + Adaptation,SUT-B,10,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Random,SUT-B,11,2.5,2,3,0.000;0.000;0.000;0.500;0.500;1.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500
Random Support + Adaptation,SUT-B,11,13.5,10,17,0.000;0.000;1.000;1.000;2.000;2.500;3.500;4.500;5.500;6.000;7.000;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;13.500
Random,SUT-B,12,1.0,0,2,0.000;0.000;0.000;0.500;0.500;0.500;0.500;0.500;0.500;0.500;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
Random Support + Adaptation,SUT-B,12,13.5,10,17,0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;13.500
Random,SUT-B,13,4.0,2,6,1.000;1.000;1.000;1.000;1.000;1.500;1.500;1.500;1.500;1.500;1.500;2.000;2.500;2.500;2.500;3.500;3.500;3.500;3.500;4.000
Random Support + Adaptation,SUT-B,13,13.5,10,17,0.000;1.000;1.000;1.000;2.000;2.500;3.500;4.500;5.500;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;13.500
