seed,target_sut,coverage,heterogeneity,noise_scale,step,index,event_probability,predicted_severity
20261103,Target-exact-partial-1,exact,partial,0.3,45,479,1.0,0.9709665389409317
20261103,Target-exact-partial-1,exact,partial,0.3,46,435,1.0,0.9708161917255772
20261103,Target-exact-partial-1,exact,partial,0.3,47,428,1.0,0.9632476981089857
20261103,Target-exact-partial-1,exact,partial,0.3,48,199,0.9999999999999999,0.9638077566040903
20261103,Target-exact-partial-1,exact,partial,0.3,49,183,1.0,0.9633063618617652
20261103,Target-exact-partial-1,exact,partial,0.3,50,175,1.0,0.9001146761787491
20261103,Target-exact-partial-2,exact,partial,0.3,1,487,1.0,0.9853312896884994
20261103,Target-exact-partial-2,exact,partial,0.3,2,495,1.0,0.9850987877943045
20261103,Target-exact-partial-2,exact,partial,0.3,3,87,1.0,0.9818305724516992
20261103,Target-exact-partial-2,exact,partial,0.3,4,491,1.0,0.9801745607583277
20261103,Target-exact-partial-2,exact,partial,0.3,5,502,1.0,0.9800182563051595
20261103,Target-exact-partial-2,exact,partial,0.3,6,499,1.0,0.9758434633217383
20261103,Target-exact-partial-2,exact,partial,0.3,7,187,1.0,0.9733884698613895
20261103,Target-exact-partial-2,exact,partial,0.3,8,195,1.0,0.9729504949599566
20261103,Target-exact-partial-2,exact,partial,0.3,9,292,1.0,0.9579671145957582
20261103,Target-exact-partial-2,exact,partial,0.3,10,385,1.0,0.8911710245368362
20261103,Target-exact-partial-2,exact,partial,0.3,11,191,1.0,0.9692210546060545
20261103,Target-exact-partial-2,exact,partial,0.3,12,534,1.0,0.9583896034899251
20261103,Target-exact-partial-2,exact,partial,0.3,13,296,1.0,0.8993059894521349
20261103,Target-exact-partial-2,exact,partial,0.3,14,288,1.0,0.9020941947027548
20261103,Target-exact-partial-2,exact,partial,0.3,15,272,1.0,0.9060774347348876
20261103,Target-exact-partial-2,exact,partial,0.3,16,389,1.0,0.8971967151713145
20261103,Target-exact-partial-2,exact,partial,0.3,17,393,1.0,0.9044751219806115
20261103,Target-exact-partial-2,exact,partial,0.3,18,397,1.0,0.9070835357277045
