subgroup,value,method,budget,seed_target_units,evaluable_units,mean_event_count,mean_event_prevalence,mean_critical_recall
mode,stop_and_go,Mining-DETOUR,20,90,90,15.377777777777778,0.1537777777777778,0.01876088926890654
mode,stop_and_go,Mining-DETOUR,30,90,90,15.377777777777778,0.1537777777777778,0.026392367782284525
mode,stop_and_go,Mining-DETOUR,50,90,90,15.377777777777778,0.1537777777777778,0.22127384208885542
mode,stop_and_go,AdaTE Global,10,90,90,15.377777777777778,0.1537777777777778,0.0038580246913580245
mode,stop_and_go,AdaTE Global,20,90,90,15.377777777777778,0.1537777777777778,0.0038580246913580245
mode,stop_and_go,AdaTE Global,30,90,90,15.377777777777778,0.1537777777777778,0.05162099709201159
mode,stop_and_go,AdaTE Global,50,90,90,15.377777777777778,0.1537777777777778,0.24965901232738402
mode,stop_and_go,Function-Conditioned Mining,10,90,90,15.377777777777778,0.1537777777777778,0.06769707886053498
mode,stop_and_go,Function-Conditioned Mining,20,90,90,15.377777777777778,0.1537777777777778,0.06769707886053498
mode,stop_and_go,Function-Conditioned Mining,30,90,90,15.377777777777778,0.1537777777777778,0.09225935754046075
mode,stop_and_go,Function-Conditioned Mining,50,90,90,15.377777777777778,0.1537777777777778,0.2541269907912994
mode,stop_and_go,Posterior Search (adaptive support),10,90,90,15.377777777777778,0.1537777777777778,0.08309871426217039
mode,stop_and_go,Posterior Search (adaptive support),20,90,90,15.377777777777778,0.1537777777777778,0.11849418299097246
mode,stop_and_go,Posterior Search (adaptive support),30,90,90,15.377777777777778,0.1537777777777778,0.2622197894627426
mode,stop_and_go,Posterior Search (adaptive support),50,90,90,15.377777777777778,0.1537777777777778,0.43406058992178875
mode,slow_lead_following,Random,10,90,90,31.644444444444446,0.3164444444444445,0.016525127428502134
mode,slow_lead_following,Random,20,90,90,31.644444444444446,0.3164444444444445,0.0331475997174186
mode,slow_lead_following,Random,30,90,90,31.644444444444446,0.3164444444444445,0.04946853518285104
mode,slow_lead_following,Random,50,90,90,31.644444444444446,0.3164444444444445,0.0838833703657892
mode,slow_lead_following,DETOUR,10,90,90,31.644444444444446,0.3164444444444445,0.12108095786068063
mode,slow_lead_following,DETOUR,20,90,90,31.644444444444446,0.3164444444444445,0.25176857304843264
mode,slow_lead_following,DETOUR,30,90,90,31.644444444444446,0.3164444444444445,0.33466371116833893
mode,slow_lead_following,DETOUR,50,90,90,31.644444444444446,0.3164444444444445,0.5541875580068223
mode,slow_lead_following,Mining,10,90,90,31.644444444444446,0.3164444444444445,0.006764341034364661
mode,slow_lead_following,Mining,20,90,90,31.644444444444446,0.3164444444444445,0.22847520862246964
mode,slow_lead_following,Mining,30,90,90,31.644444444444446,0.3164444444444445,0.33387130341347765
mode,slow_lead_following,Mining,50,90,90,31.644444444444446,0.3164444444444445,0.6726245722453523
mode,slow_lead_following,Mining-DETOUR,10,90,90,31.644444444444446,0.3164444444444445,0.007505081775105402
mode,slow_lead_following,Mining-DETOUR,20,90,90,31.644444444444446,0.3164444444444445,0.2305479274247482
mode,slow_lead_following,Mining-DETOUR,30,90,90,31.644444444444446,0.3164444444444445,0.33425240915690224
mode,slow_lead_following,Mining-DETOUR,50,90,90,31.644444444444446,0.3164444444444445,0.6759492214356638
mode,slow_lead_following,AdaTE Global,10,90,90,31.644444444444446,0.3164444444444445,0.21546583242826148
mode,slow_lead_following,AdaTE Global,20,90,90,31.644444444444446,0.3164444444444445,0.3580713226752581
mode,slow_lead_following,AdaTE Global,30,90,90,31.644444444444446,0.3164444444444445,0.48425175789928776
mode,slow_lead_following,AdaTE Global,50,90,90,31.644444444444446,0.3164444444444445,0.7110223802236121
mode,slow_lead_following,Function-Conditioned Mining,10,90,90,31.644444444444446,0.3164444444444445,0.15413970861906304
