scope,coverage,heterogeneity,method,reference,budget,mean_recall_difference,hierarchical_bootstrap_low,hierarchical_bootstrap_high,wins,ties,losses,seed_target_units
heterogeneity,all,partial,Posterior Search (adaptive support),DIVA-DETOUR,30,0.05360362751571555,0.04003952553745243,0.06751903841667065,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),DIVA-DETOUR,50,0.05541729017888789,0.04165352954898752,0.069051629263112,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),AdaTE Global,10,0.0005800348518795119,0.0,0.0017401045556385357,2,28,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),AdaTE Global,20,0.0011713825020506913,-0.00027269027269027267,0.0030202202032584644,4,25,1,30
heterogeneity,all,partial,Posterior Search (adaptive support),AdaTE Global,30,0.0032674459876058963,0.0007936507936507937,0.006060823032225088,7,23,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),AdaTE Global,50,0.009735461924625854,0.0057108466974758205,0.0141732680489322,17,13,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),Function-Conditioned DIVA,10,0.001562911909086239,0.0002645502645502645,0.00316229851113572,5,25,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),Function-Conditioned DIVA,20,0.0010399637117194374,0.0,0.0026455026455026454,3,27,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),Function-Conditioned DIVA,30,0.001680989352745075,0.0,0.0038728908213640973,5,25,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),Function-Conditioned DIVA,50,0.005405893197438709,0.001751360527687004,0.010828017472842075,11,19,0,30
heterogeneity,all,full,Posterior Search (adaptive support),Random,10,0.06580160751535684,0.0600461850480852,0.07161472344252691,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),Random,20,0.13060449590666676,0.11983449209124952,0.14166979848940603,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),Random,30,0.19429488992952754,0.17835353929659678,0.2106511097486899,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),Random,50,0.3224958423570739,0.2969202930786331,0.34935508016087297,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DETOUR,10,0.01268656232378072,0.00918324687310766,0.015999940442443412,27,3,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DETOUR,20,0.022338992241990426,0.01626665701243879,0.02851269628625915,27,3,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DETOUR,30,0.046858201666146584,0.0362784637154744,0.06035273388992535,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DETOUR,50,0.10277134712877291,0.08281481413857232,0.12809349715393684,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DIVA,10,0.05917005470448987,0.04865153669622619,0.06988168504694386,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DIVA,20,0.05893195946639463,0.048059348719976996,0.06962048790501402,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DIVA,30,0.05870207440892337,0.047843088655058284,0.06951831872394977,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DIVA,50,0.05974252465993854,0.048688365514016174,0.07057011891249511,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DIVA-DETOUR,10,0.0589203039243289,0.04806607794932195,0.06988193505894842,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DIVA-DETOUR,20,0.05868220868623366,0.04787249280506125,0.06972291030595208,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DIVA-DETOUR,30,0.0584523236287624,0.04772474146566215,0.06953007189247802,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),DIVA-DETOUR,50,0.059492773879777576,0.04849286641718427,0.070821802949758,30,0,0,30
heterogeneity,all,full,Posterior Search (adaptive support),AdaTE Global,10,0.0,0.0,0.0,0,30,0,30
heterogeneity,all,full,Posterior Search (adaptive support),AdaTE Global,20,-0.00023809523809523818,-0.0009523809523809527,0.0,0,29,1,30
heterogeneity,all,full,Posterior Search (adaptive support),AdaTE Global,30,0.000986859652474531,-0.0002698412698412663,0.002402522599501098,5,24,1,30
heterogeneity,all,full,Posterior Search (adaptive support),AdaTE Global,50,0.006890460625170064,0.003300184799463054,0.010619321509711796,16,13,1,30
heterogeneity,all,full,Posterior Search (adaptive support),Function-Conditioned DIVA,10,0.0011154531742767037,0.0,0.002627614379084964,4,26,0,30
heterogeneity,all,full,Posterior Search (adaptive support),Function-Conditioned DIVA,20,0.0008773579361814656,-0.00047619047619047635,0.0025505860152918967,4,25,1,30
heterogeneity,all,full,Posterior Search (adaptive support),Function-Conditioned DIVA,30,0.00097109747417946,-0.0007214012041598208,0.003133014587111757,5,23,2,30
heterogeneity,all,full,Posterior Search (adaptive support),Function-Conditioned DIVA,50,0.008408853607649694,0.0035876926809818945,0.013820406402328816,15,12,3,30
