task,protocol,method,target_sut,repeat,budget,metric,value,candidate_count,target_feedback
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-F,0,10,collision_count,10.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-F,0,10,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-F,0,10,recall,0.14925373134328357,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-F,0,20,collision_count,20.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-F,0,20,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-F,0,20,recall,0.29850746268656714,192,previous target outcomes
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,0,5,collision_count,1.0,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,0,5,precision,0.2,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,0,5,recall,0.030303030303030304,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,0,10,collision_count,5.0,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,0,10,precision,0.5,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,0,10,recall,0.15151515151515152,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,0,20,collision_count,12.0,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,0,20,precision,0.6,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,0,20,recall,0.36363636363636365,192,none
failure_discovery,shared_pool_static,Random,SUT-A,0,5,collision_count,2.0,192,none
failure_discovery,shared_pool_static,Random,SUT-A,0,5,precision,0.4,192,none
failure_discovery,shared_pool_static,Random,SUT-A,0,5,recall,0.06060606060606061,192,none
failure_discovery,shared_pool_static,Random,SUT-A,0,10,collision_count,3.0,192,none
failure_discovery,shared_pool_static,Random,SUT-A,0,10,precision,0.3,192,none
failure_discovery,shared_pool_static,Random,SUT-A,0,10,recall,0.09090909090909091,192,none
failure_discovery,shared_pool_static,Random,SUT-A,0,20,collision_count,3.0,192,none
failure_discovery,shared_pool_static,Random,SUT-A,0,20,precision,0.15,192,none
failure_discovery,shared_pool_static,Random,SUT-A,0,20,recall,0.09090909090909091,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,0,5,collision_count,2.0,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,0,5,precision,0.4,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,0,5,recall,0.06060606060606061,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,0,10,collision_count,5.0,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,0,10,precision,0.5,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,0,10,recall,0.15151515151515152,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,0,20,collision_count,10.0,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,0,20,precision,0.5,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,0,20,recall,0.30303030303030304,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,0,5,collision_count,5.0,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,0,5,precision,1.0,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,0,5,recall,0.3125,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,0,10,collision_count,9.0,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,0,10,precision,0.9,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,0,10,recall,0.5625,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,0,20,collision_count,11.0,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,0,20,precision,0.55,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,0,20,recall,0.6875,192,none
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,SUT-A,0,5,collision_count,0.0,192,none
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,SUT-A,0,5,precision,0.0,192,none
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,SUT-A,0,5,recall,0.0,192,none
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,SUT-A,0,10,collision_count,0.0,192,none
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,SUT-A,0,10,precision,0.0,192,none
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,SUT-A,0,10,recall,0.0,192,none
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,SUT-A,0,20,collision_count,0.0,192,none
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,SUT-A,0,20,precision,0.0,192,none
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,SUT-A,0,20,recall,0.0,192,none
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,SUT-A,0,5,collision_count,4.0,192,none
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,SUT-A,0,5,precision,0.8,192,none
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,SUT-A,0,5,recall,0.25,192,none
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,SUT-A,0,10,collision_count,8.0,192,none
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,SUT-A,0,10,precision,0.8,192,none
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,SUT-A,0,10,recall,0.5,192,none
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,SUT-A,0,20,collision_count,13.0,192,none
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,SUT-A,0,20,precision,0.65,192,none
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,SUT-A,0,20,recall,0.8125,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,1,5,collision_count,2.0,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,1,5,precision,0.4,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,1,5,recall,0.06060606060606061,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,1,10,collision_count,6.0,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,1,10,precision,0.6,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,1,10,recall,0.18181818181818182,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,1,20,collision_count,12.0,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,1,20,precision,0.6,192,none
failure_discovery,shared_pool_static,DETOUR-static,SUT-A,1,20,recall,0.36363636363636365,192,none
failure_discovery,shared_pool_static,Random,SUT-A,1,5,collision_count,2.0,192,none
failure_discovery,shared_pool_static,Random,SUT-A,1,5,precision,0.4,192,none
failure_discovery,shared_pool_static,Random,SUT-A,1,5,recall,0.06060606060606061,192,none
failure_discovery,shared_pool_static,Random,SUT-A,1,10,collision_count,4.0,192,none
failure_discovery,shared_pool_static,Random,SUT-A,1,10,precision,0.4,192,none
failure_discovery,shared_pool_static,Random,SUT-A,1,10,recall,0.12121212121212122,192,none
failure_discovery,shared_pool_static,Random,SUT-A,1,20,collision_count,6.0,192,none
failure_discovery,shared_pool_static,Random,SUT-A,1,20,precision,0.3,192,none
failure_discovery,shared_pool_static,Random,SUT-A,1,20,recall,0.18181818181818182,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,1,5,collision_count,2.0,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,1,5,precision,0.4,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,1,5,recall,0.06060606060606061,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,1,10,collision_count,5.0,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,1,10,precision,0.5,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,1,10,recall,0.15151515151515152,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,1,20,collision_count,10.0,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,1,20,precision,0.5,192,none
failure_discovery,shared_pool_static,Nearest-Failure-global,SUT-A,1,20,recall,0.30303030303030304,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,1,5,collision_count,4.0,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,1,5,precision,0.8,192,none
failure_discovery,shared_pool_within_sut_history,DETOUR-within-SUT-static,SUT-A,1,5,recall,0.25,192,none
