task,protocol,method,budget,metric,mean,standard_deviation,records
performance_estimation,shared_pool_estimation,Handcrafted-Similarity,5,relative_absolute_error,0.6716759430687222,0.5064662834621744,2
performance_estimation,shared_pool_estimation,Handcrafted-Similarity,5,signed_bias,-0.024855951404335764,0.058782906542654806,2
performance_estimation,shared_pool_estimation,IS,10,mean_absolute_error,0.06040457738543993,0.03986251814833934,2
performance_estimation,shared_pool_estimation,IS,10,relative_absolute_error,0.3331293981532868,0.11208330367686663,2
performance_estimation,shared_pool_estimation,IS,10,signed_bias,-0.01560679794814514,0.03413870372987086,2
performance_estimation,shared_pool_estimation,IS,20,mean_absolute_error,0.06280087639500151,0.057072096855761485,2
performance_estimation,shared_pool_estimation,IS,20,relative_absolute_error,0.29145374527249346,0.0058833847004285894,2
performance_estimation,shared_pool_estimation,IS,20,signed_bias,-0.00705527155927577,0.011821404336963288,2
performance_estimation,shared_pool_estimation,IS,5,mean_absolute_error,0.05996197756214606,0.0315740696447877,2
performance_estimation,shared_pool_estimation,IS,5,relative_absolute_error,0.3587742323401285,0.17389625959856844,2
performance_estimation,shared_pool_estimation,IS,5,signed_bias,-0.030946822764666315,0.04192551811006817,2
performance_estimation,shared_pool_estimation,NoSimilarity-Optimized,10,mean_absolute_error,0.04404166666666667,0.01720626500887265,2
performance_estimation,shared_pool_estimation,NoSimilarity-Optimized,10,relative_absolute_error,0.28453731343283584,0.17460260579030218,2
performance_estimation,shared_pool_estimation,NoSimilarity-Optimized,10,signed_bias,0.02445833333333336,0.010488750587600426,2
performance_estimation,shared_pool_estimation,NoSimilarity-Optimized,20,mean_absolute_error,0.033166666666666664,0.009251313720523993,2
performance_estimation,shared_pool_estimation,NoSimilarity-Optimized,20,relative_absolute_error,0.22729552238805967,0.16051957162887925,2
performance_estimation,shared_pool_estimation,NoSimilarity-Optimized,20,signed_bias,0.003958333333333338,0.028402122377659655,2
performance_estimation,shared_pool_estimation,NoSimilarity-Optimized,5,mean_absolute_error,0.10920833333333335,0.036533850361304986,2
performance_estimation,shared_pool_estimation,NoSimilarity-Optimized,5,relative_absolute_error,0.7270925373134328,0.4809845863956445,2
performance_estimation,shared_pool_estimation,NoSimilarity-Optimized,5,signed_bias,0.040458333333333346,0.13376103277445525,2
performance_estimation,shared_pool_estimation,Uniform,10,mean_absolute_error,0.09604166666666666,0.0338232743667565,2
performance_estimation,shared_pool_estimation,Uniform,10,relative_absolute_error,0.6334805970149254,0.40972510898412884,2
performance_estimation,shared_pool_estimation,Uniform,10,signed_bias,0.014458333333333358,0.0020034692133618615,2
performance_estimation,shared_pool_estimation,Uniform,20,mean_absolute_error,0.05947916666666667,0.010930692325842031,2
performance_estimation,shared_pool_estimation,Uniform,20,relative_absolute_error,0.4274985074626867,0.33220087656795116,2
performance_estimation,shared_pool_estimation,Uniform,20,signed_bias,-0.00504166666666665,0.009781643806413894,2
performance_estimation,shared_pool_estimation,Uniform,5,mean_absolute_error,0.1292291666666667,0.03302777923792167,2
performance_estimation,shared_pool_estimation,Uniform,5,relative_absolute_error,0.8962268656716421,0.6490860313320528,2
performance_estimation,shared_pool_estimation,Uniform,5,signed_bias,0.04245833333333336,0.05173664615681576,2
