target_sut,rank,scenario_index,scenario_id,mode,predicted_score,collision_offline
SUT-D,10,7,scenario-01499777d7711e28,fast_intrusion,0.7484257221221924,1
SUT-D,11,31,scenario-f9b9348eb0531b8e,fast_intrusion,0.7337052226066589,1
SUT-D,12,89,scenario-46088129a30f4cce,cutin_braking,0.7325261235237122,1
SUT-D,13,39,scenario-9e51236c824ccd38,fast_intrusion,0.7298487424850464,1
SUT-D,14,106,scenario-d5a9bbf8357611bd,cutin_braking,0.7248225808143616,1
SUT-D,15,11,scenario-8665931dd5fc8bce,fast_intrusion,0.7233443260192871,1
SUT-D,16,47,scenario-8a0b032a9ebe823b,fast_intrusion,0.7081332802772522,1
SUT-D,17,133,scenario-3f73f35437bc98bc,lead_braking,0.698959231376648,1
SUT-D,18,157,scenario-357668b9f000a36d,lead_braking,0.6985568404197693,1
SUT-D,19,181,scenario-21f14736d68a13f7,lead_braking,0.6974894404411316,1
SUT-D,20,173,scenario-c1ce45ea0214bf79,lead_braking,0.696730375289917,1
SUT-D,21,141,scenario-bee4ba3225c28592,lead_braking,0.6966326832771301,1
SUT-D,22,145,scenario-20400b6e46c3d578,lead_braking,0.6960384249687195,1
SUT-D,23,185,scenario-7aac12056265a655,lead_braking,0.6942252516746521,1
SUT-D,24,109,scenario-8bb053549e21e5e7,cutin_braking,0.6700111627578735,1
SUT-D,25,189,scenario-0c0c4204a5bb7640,lead_braking,0.6658671498298645,1
SUT-D,26,137,scenario-31fb577f26ed09ce,lead_braking,0.6647374033927917,1
SUT-D,27,161,scenario-f1c9b4309b892151,lead_braking,0.647371232509613,1
SUT-D,28,165,scenario-b919431edf1a1ec0,lead_braking,0.6344305872917175,1
SUT-D,29,167,scenario-6e0d5c5ad4aed98c,lead_braking,0.6131740212440491,1
SUT-D,30,143,scenario-54d28dd916e5fd0f,lead_braking,0.5827257037162781,1
SUT-D,31,63,scenario-b3976f40974c4871,fast_intrusion,0.5823115110397339,1
SUT-D,32,93,scenario-144c9cfa23f8b077,cutin_braking,0.5710490942001343,0
SUT-D,33,15,scenario-efa59bf3295d6dae,fast_intrusion,0.49952825903892517,0
SUT-D,34,71,scenario-77a103a544cb723f,cutin_braking,0.48976266384124756,1
SUT-D,35,81,scenario-5afe12d99afe03bf,cutin_braking,0.4809355139732361,0
SUT-D,36,23,scenario-c3ac9b5365a4ab18,fast_intrusion,0.4785272777080536,1
SUT-D,37,153,scenario-df9da2b185a1d915,lead_braking,0.47123655676841736,1
SUT-D,38,151,scenario-09d12fa8f89dfdc8,lead_braking,0.46815556287765503,1
SUT-D,39,35,scenario-fe206516d3c60d2c,fast_intrusion,0.4567098915576935,0
SUT-D,40,179,scenario-0d63f0fd42f1be83,lead_braking,0.4476528465747833,0
SUT-D,41,105,scenario-9be6ff23a9babea3,cutin_braking,0.44249698519706726,1
SUT-D,42,59,scenario-d99c05eefec8adf7,fast_intrusion,0.4386928677558899,0
