method,budget,repeat,round,position,accepted_index,loss,candidate_evaluations,elapsed_seconds,event
Handcrafted-Similarity,20,0,1,18,42,0.01154020529483895,3288,0.24071560002630576,accepted
Handcrafted-Similarity,20,0,1,19,77,0.008386408205508948,3461,0.2531715000222903,accepted
Handcrafted-Similarity,20,0,2,0,-1,0.008386408205508948,3634,0.26571040000999346,no_change
Handcrafted-Similarity,20,0,2,1,-1,0.008386408205508948,3807,0.27840580002521165,no_change
Handcrafted-Similarity,20,0,2,2,-1,0.008386408205508948,3980,0.29089370000292547,no_change
Handcrafted-Similarity,20,0,2,3,-1,0.008386408205508948,4153,0.303441100026248,no_change
Handcrafted-Similarity,20,0,2,4,-1,0.008386408205508948,4326,0.31588720000581816,no_change
Handcrafted-Similarity,20,0,2,5,-1,0.008386408205508948,4499,0.3286460000090301,no_change
Handcrafted-Similarity,20,0,2,6,159,0.008103291139682188,4672,0.34235660001286305,accepted
Handcrafted-Similarity,20,0,2,7,-1,0.008103291139682188,4845,0.3569668999989517,no_change
Handcrafted-Similarity,20,0,2,8,-1,0.008103291139682188,5018,0.3693443000083789,no_change
Handcrafted-Similarity,20,0,2,9,-1,0.008103291139682188,5191,0.3818487000244204,no_change
Handcrafted-Similarity,20,0,2,10,-1,0.008103291139682188,5364,0.3944068000128027,no_change
Handcrafted-Similarity,20,0,2,11,-1,0.008103291139682188,5537,0.4073420000204351,no_change
Handcrafted-Similarity,20,0,2,12,-1,0.008103291139682188,5710,0.41979900002479553,no_change
Handcrafted-Similarity,20,0,2,13,-1,0.008103291139682188,5883,0.4322031000046991,no_change
Handcrafted-Similarity,20,0,2,14,-1,0.008103291139682188,6056,0.44460020001861267,no_change
Handcrafted-Similarity,20,0,2,15,-1,0.008103291139682188,6229,0.4575906000100076,no_change
Handcrafted-Similarity,20,0,2,16,-1,0.008103291139682188,6402,0.4699475000088569,no_change
Handcrafted-Similarity,20,0,2,17,-1,0.008103291139682188,6575,0.4827878000214696,no_change
Handcrafted-Similarity,20,0,2,18,-1,0.008103291139682188,6748,0.4951722999976482,no_change
Handcrafted-Similarity,20,0,2,19,-1,0.008103291139682188,6921,0.5083477000007406,no_change
Handcrafted-Similarity,20,0,3,0,-1,0.008103291139682188,7094,0.5211336000065785,no_change
Handcrafted-Similarity,20,0,3,1,-1,0.008103291139682188,7267,0.533692000026349,no_change
Handcrafted-Similarity,20,0,3,2,-1,0.008103291139682188,7440,0.5468514000240248,no_change
Handcrafted-Similarity,20,0,3,3,-1,0.008103291139682188,7613,0.5598759000131395,no_change
Handcrafted-Similarity,20,0,3,4,-1,0.008103291139682188,7786,0.5722658000013325,no_change
Handcrafted-Similarity,20,0,3,5,-1,0.008103291139682188,7959,0.5857878000242636,no_change
Handcrafted-Similarity,20,0,3,6,-1,0.008103291139682188,8132,0.5985574000224005,no_change
Handcrafted-Similarity,20,0,3,7,-1,0.008103291139682188,8305,0.6110360000166111,no_change
Handcrafted-Similarity,20,0,3,8,-1,0.008103291139682188,8478,0.625588000024436,no_change
Handcrafted-Similarity,20,0,3,9,-1,0.008103291139682188,8651,0.6386113000044134,no_change
Handcrafted-Similarity,20,0,3,10,-1,0.008103291139682188,8824,0.6509483000263572,no_change
Handcrafted-Similarity,20,0,3,11,-1,0.008103291139682188,8997,0.663669800007483,no_change
Handcrafted-Similarity,20,0,3,12,-1,0.008103291139682188,9170,0.6768254000053275,no_change
Handcrafted-Similarity,20,0,3,13,-1,0.008103291139682188,9343,0.6896272000158206,no_change
Handcrafted-Similarity,20,0,3,14,-1,0.008103291139682188,9516,0.7027867000142578,no_change
Handcrafted-Similarity,20,0,3,15,-1,0.008103291139682188,9689,0.7152780000178609,no_change
Handcrafted-Similarity,20,0,3,16,-1,0.008103291139682188,9862,0.7275100000260863,no_change
Handcrafted-Similarity,20,0,3,17,-1,0.008103291139682188,10035,0.7397735000122339,no_change
Handcrafted-Similarity,20,0,3,18,-1,0.008103291139682188,10208,0.7516064000083134,no_change
Handcrafted-Similarity,20,0,3,19,-1,0.008103291139682188,10381,0.7641562000208069,no_change
FST-Similarity-H,20,0,0,-1,-1,0.13246434926986694,1,0.0,initial
FST-Similarity-H,20,0,1,0,13,0.018140941858291626,174,0.4157956999843009,accepted
FST-Similarity-H,20,0,1,1,162,0.003796398639678955,347,0.5210111999767832,accepted
