method,budget,repeat,target_sut,estimate,target_mu,signed_error,absolute_error,relative_absolute_error,freeze_sha256
NoSimilarity-Optimized,5,3,SUT-E,0.2,0.078125,0.12187500000000001,0.12187500000000001,1.56,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,3,SUT-F,0.4,0.3489583333333333,0.05104166666666671,0.05104166666666671,0.14626865671641803,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,4,SUT-E,0.2,0.078125,0.12187500000000001,0.12187500000000001,1.56,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,4,SUT-F,0.6000000000000001,0.3489583333333333,0.2510416666666668,0.2510416666666668,0.7194029850746272,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,4,SUT-E,0.2,0.078125,0.12187500000000001,0.12187500000000001,1.56,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,4,SUT-F,0.4,0.3489583333333333,0.05104166666666671,0.05104166666666671,0.14626865671641803,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,4,SUT-E,0.1807296837406498,0.078125,0.1026046837406498,0.1026046837406498,1.3133399518803173,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,4,SUT-F,0.1807296837406498,0.3489583333333333,-0.16822864959268352,0.16822864959268352,0.48208807047455576,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,4,SUT-E,0.05713009089231491,0.078125,-0.02099490910768509,0.02099490910768509,0.26873483657836916,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,4,SUT-F,0.9999999701976776,0.3489583333333333,0.6510416368643444,0.6510416368643444,1.865671556387375,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,4,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,4,SUT-F,0.4133605354001886,0.3489583333333333,0.06440220206685526,0.06440220206685526,0.18455556413188376,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,4,SUT-E,0.056699976325035095,0.078125,-0.021425023674964905,0.021425023674964905,0.27424030303955077,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,4,SUT-F,0.3614172264933586,0.3489583333333333,0.012458893160025297,0.012458893160025297,0.03570309681678891,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,4,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
NoSimilarity-Optimized,5,4,SUT-F,0.6000000000000001,0.3489583333333333,0.2510416666666668,0.2510416666666668,0.7194029850746272,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,5,SUT-E,0.2,0.078125,0.12187500000000001,0.12187500000000001,1.56,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,5,SUT-F,0.6000000000000001,0.3489583333333333,0.2510416666666668,0.2510416666666668,0.7194029850746272,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,5,SUT-E,0.4,0.078125,0.321875,0.321875,4.12,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,5,SUT-F,0.6000000000000001,0.3489583333333333,0.2510416666666668,0.2510416666666668,0.7194029850746272,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,5,SUT-E,0.07774152362037168,0.078125,-0.0003834763796283225,0.0003834763796283225,0.004908497659242528,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,5,SUT-F,0.27615249376093964,0.3489583333333333,-0.07280583957239367,0.07280583957239367,0.2086376298193968,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
